Contact-lenses,age,spectacle,astigmatism,Tear-rate
none,young,myope,no,reduced
soft,young,myope,no,normal
none,young,myope,yes,reduced
none,young,hypermetrope,no,reduced
soft,young,hypermetrope,no,normal
none,young,hypermetrope,yes,reduced
none,Pre-presbyopic,myope,no,reduced
soft,Pre-presbyopic,myope,no,normal
none,Pre-presbyopic,myope,yes,reduced
none,Pre-presbyopic,hypermetrope,no,reduced
soft,Pre-presbyopic,hypermetrope,no,normal
none,Pre-presbyopic,hypermetrope,yes,reduced
none,presbyopic,myope,no,reduced
none,presbyopic,myope,yes,reduced
none,presbyopic,hypermetrope,no,reduced
soft,presbyopic,hypermetrope,no,normal
